titulo;descricao;imagem
Gabriel, da Casa de Vidro, conta como conheceu Anitta e relata situação inusitada: 'Dia mais legal da minha vida';Brothers perguntam como Gabriel conheceu Anitta e o modelo explica a situação que viveu com a cantora;https://s2.glbimg.com/YGAYyxNGJUI7I5_uQ7k3swWWu-8=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2023/y/s/duKtBfT3WqjzIiw5y0kA/gabriel-paula-manoel-casa-de-vidro.jpg
"Anitta fez xixi no braço de amigo de Gabriel, da Casa do Vidro do BBB 23; entenda";Em papo com gshow, amigo de Gabriel dá detalhes da história inusitada que a cantora contou para Kelly Clarkson em talk show americano: 'Sou eternamente grato';https://s2.glbimg.com/WmllaHFVfEZqmIYXV4B6hDHKjxs=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2023/P/F/FCMuoZSy2BnbVyiSZioA/bbb-23-gabriel-anitta-creditos-reproducao-instagram.jpg
Ex- BBB Papito dá conselho para os participantes da Casa de Vidro ;Ayrton Lima conversa com os candidatos ao BBB 23 no meio da multidão;https://s2.glbimg.com/WmrMTv3aDqTXGgU1bbPkUV6Yk2g=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/04/89/11268904
Amigo de Anitta conta que apresentou participante da Casa de Vidro do BBB 23 para a cantora;Influenciador digital e cantor Duh Marinho visitou a casa de muros transparentes e falou que mostrou vídeo de Gabriel para a artista ;https://s2.glbimg.com/WCW9iJZ_9rJszASZBCBbc9jSEKA=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2023/z/b/50ZV66TpC4GFg2wjEHBA/1673366193154539.jpg
Manoel, da Casa de Vidro, recebe a visita do namorado e Paula comenta: 'Que gato!';Raphael Piza pegou um voo de Cuiabá na manhã desta terça-feira, 10/01, para ver o psiquiatra na Casa de Vidro em um shopping do Rio de Janeiro;https://s2.glbimg.com/MauYLvcmcGyC8OJlSa5ievjeY-Y=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/83/88/11268883
Paula e Manoel contam o que fizeram para despistar familiares e amigos;Os participantes da Casa de Vidro revelam as desculpas que precisaram criar para não entregar que estariam no confinamento ;https://s2.glbimg.com/zvtQkdFYwHOWoQyVZsbN4ipiPZ4=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/68/88/11268868
Paula, da Casa de Vidro, se surpreende com o número de seguidores e Manoel faz alerta;Os dois falam sobre as informações que tiveram do mundo exterior;https://s2.glbimg.com/1pyCOkEGWoknN8IEVsn1q-0zZ18=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/61/87/11268761
Brunna Gonçalves visita Casa de Vidro do BBB 23 e faz pedido a confinados: 'Não tirem meu posto de planta';Ex-BBB 22 chega com cartaz para visitar os participantes da 'bolha';https://s2.glbimg.com/sDv4efG_d1lJWkbS_Hz3Ff_je_g=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/34/86/11268634
Paula, da Casa de Vidro, diz que mãe fez sua roupa: 'Cortou e fez';Enquanto conversa com o público, a biomédica comenta sobre look;https://s2.glbimg.com/fTMLSxu_bKiRGmPxl7ymibvgXdA=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/67/85/11268567
Está por dentro da Casa de Vidro do BBB 23? Faça o quiz e descubra! ;Mostre os seus conhecimentos sobre o que está acontecendo na Casa de Vidro;https://s2.glbimg.com/fwS4h20rwDT992FOsFADZCyFVQU=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2023/h/k/ce8koPRG6EB9yyAdrnhw/whatsapp-image-2023-01-10-at-10.41.28.jpeg
Brunna Gonçalves, Larissa Tomásia e mais: veja famosos e figuras que visitaram a Casa de Vidro do BBB 23;Dinâmica do Big Brother Brasil conta com confinados em um shopping carioca e teve início nesta terça, 10/1;https://s2.glbimg.com/-FYNaCH4p35Q_1XrI6zmTAuKSAY=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2023/h/7/UN7ZggQoWMhZ42VA3rwQ/larissa-brunna-ayrton.jpg
Giovanna, da Casa de Vidro, explica estratégia para entrar no BBB 23;"A empresária conta como pretende ser no jogo; confira!";https://s2.glbimg.com/lEkUS1O5MmsZyARNJmG2QZabsJ4=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/24/89/11268924
